produk001;Produk 001;;Produk 001;produk-001-1;;0;;deskripsi produk;;;1;7;3;hastag produk;67900;73000;0;0;1;1;1;0;0;4;1;1
produk002;Produk 002;;Produk 002;produk-002-1;;0;;deskripsi produk;;;1;8;4;hastag produk;23500;28000;0;0;1;1;1;0;0;4;1;1
produk003;Produk 003;;Produk 003;produk-003-1;;0;;deskripsi produk;;;1;9;5;hastag produk;91200;96000;0;0;1;1;1;0;0;4;1;1
produk004;Produk 004;;Produk 004;produk-004-1;;0;;deskripsi produk;;;1;10;1;hastag produk;45700;51000;0;0;1;1;1;0;0;4;1;1
produk005;Produk 005;;Produk 005;produk-005-1;;0;;deskripsi produk;;;1;11;2;hastag produk;18900;24000;0;0;1;1;1;0;0;4;1;1
produk006;Produk 006;;Produk 006;produk-006-1;;0;;deskripsi produk;;;1;12;1;hastag produk;72300;77000;0;0;1;1;1;0;0;4;1;1
produk007;Produk 007;;Produk 007;produk-007-1;;0;;deskripsi produk;;;1;13;5;hastag produk;36800;42000;0;0;1;1;1;0;0;4;1;1
produk008;Produk 008;;Produk 008;produk-008-1;;0;;deskripsi produk;;;1;14;2;hastag produk;80100;85000;0;0;1;1;1;0;0;4;1;1
produk009;Produk 009;;Produk 009;produk-009-1;;0;;deskripsi produk;;;1;15;3;hastag produk;54300;59000;0;0;1;1;1;0;0;4;1;1
produk010;Produk 010;;Produk 010;produk-010-1;;0;;deskripsi produk;;;1;16;4;hastag produk;98800;104000;0;0;1;1;1;0;0;4;1;1
produk011;Produk 011;;Produk 011;produk-011-1;;0;;deskripsi produk;;;1;7;5;hastag produk;12300;17000;0;0;1;1;1;0;0;4;1;1
produk012;Produk 012;;Produk 012;produk-012-1;;0;;deskripsi produk;;;1;8;1;hastag produk;65400;70000;0;0;1;1;1;0;0;4;1;1
produk013;Produk 013;;Produk 013;produk-013-1;;0;;deskripsi produk;;;1;9;2;hastag produk;29900;35000;0;0;1;1;1;0;0;4;1;1
produk014;Produk 014;;Produk 014;produk-014-1;;0;;deskripsi produk;;;1;10;1;hastag produk;73500;78000;0;0;1;1;1;0;0;4;1;1
produk015;Produk 015;;Produk 015;produk-015-1;;0;;deskripsi produk;;;1;11;5;hastag produk;37900;43000;0;0;1;1;1;0;0;4;1;1
produk016;Produk 016;;Produk 016;produk-016-1;;0;;deskripsi produk;;;1;12;2;hastag produk;81200;86000;0;0;1;1;1;0;0;4;1;1
produk017;Produk 017;;Produk 017;produk-017-1;;0;;deskripsi produk;;;1;13;1;hastag produk;55700;61000;0;0;1;1;1;0;0;4;1;1
produk018;Produk 018;;Produk 018;produk-018-1;;0;;deskripsi produk;;;1;14;3;hastag produk;99000;104000;0;0;1;1;1;0;0;4;1;1
produk019;Produk 019;;Produk 019;produk-019-1;;0;;deskripsi produk;;;1;15;4;hastag produk;13500;18000;0;0;1;1;1;0;0;4;1;1
produk020;Produk 020;;Produk 020;produk-020-1;;0;;deskripsi produk;;;1;16;1;hastag produk;66800;72000;0;0;1;1;1;0;0;4;1;1
produk021;Produk 021;;Produk 021;produk-021-1;;0;;deskripsi produk;;;1;7;2;hastag produk;20100;25000;0;0;1;1;1;0;0;4;1;1
produk022;Produk 022;;Produk 022;produk-022-1;;0;;deskripsi produk;;;1;8;3;hastag produk;74600;80000;0;0;1;1;1;0;0;4;1;1
produk023;Produk 023;;Produk 023;produk-023-1;;0;;deskripsi produk;;;1;9;5;hastag produk;38900;44000;0;0;1;1;1;0;0;4;1;1
produk024;Produk 024;;Produk 024;produk-024-1;;0;;deskripsi produk;;;1;10;5;hastag produk;82300;87000;0;0;1;1;1;0;0;4;1;1
produk025;Produk 025;;Produk 025;produk-025-1;;0;;deskripsi produk;;;1;11;2;hastag produk;56800;62000;0;0;1;1;1;0;0;4;1;1
produk026;Produk 026;;Produk 026;produk-026-1;;0;;deskripsi produk;;;1;12;1;hastag produk;90100;95000;0;0;1;1;1;0;0;4;1;1
produk027;Produk 027;;Produk 027;produk-027-1;;0;;deskripsi produk;;;1;13;3;hastag produk;14600;20000;0;0;1;1;1;0;0;4;1;1
produk028;Produk 028;;Produk 028;produk-028-1;;0;;deskripsi produk;;;1;14;4;hastag produk;67900;73000;0;0;1;1;1;0;0;4;1;1
produk029;Produk 029;;Produk 029;produk-029-1;;0;;deskripsi produk;;;1;15;3;hastag produk;21200;26000;0;0;1;1;1;0;0;4;1;1
produk030;Produk 030;;Produk 030;produk-030-1;;0;;deskripsi produk;;;1;16;4;hastag produk;75700;81000;0;0;1;1;1;0;0;4;1;1
produk031;Produk 031;;Produk 031;produk-031-1;;0;;deskripsi produk;;;1;7;5;hastag produk;39000;44000;0;0;1;1;1;0;0;4;1;1
produk032;Produk 032;;Produk 032;produk-032-1;;0;;deskripsi produk;;;1;8;1;hastag produk;83500;88000;0;0;1;1;1;0;0;4;1;1
produk033;Produk 033;;Produk 033;produk-033-1;;0;;deskripsi produk;;;1;9;2;hastag produk;57900;63000;0;0;1;1;1;0;0;4;1;1
produk034;Produk 034;;Produk 034;produk-034-1;;0;;deskripsi produk;;;1;10;1;hastag produk;91200;96000;0;0;1;1;1;0;0;4;1;1
produk035;Produk 035;;Produk 035;produk-035-1;;0;;deskripsi produk;;;1;11;5;hastag produk;15700;21000;0;0;1;1;1;0;0;4;1;1
produk036;Produk 036;;Produk 036;produk-036-1;;0;;deskripsi produk;;;1;12;2;hastag produk;68900;74000;0;0;1;1;1;0;0;4;1;1
produk037;Produk 037;;Produk 037;produk-037-1;;0;;deskripsi produk;;;1;13;1;hastag produk;22300;27000;0;0;1;1;1;0;0;4;1;1
produk038;Produk 038;;Produk 038;produk-038-1;;0;;deskripsi produk;;;1;14;3;hastag produk;76800;82000;0;0;1;1;1;0;0;4;1;1
produk039;Produk 039;;Produk 039;produk-039-1;;0;;deskripsi produk;;;1;15;4;hastag produk;40100;45000;0;0;1;1;1;0;0;4;1;1
produk040;Produk 040;;Produk 040;produk-040-1;;0;;deskripsi produk;;;1;16;1;hastag produk;84600;90000;0;0;1;1;1;0;0;4;1;1
produk041;Produk 041;;Produk 041;produk-041-1;;0;;deskripsi produk;;;1;7;2;hastag produk;58900;64000;0;0;1;1;1;0;0;4;1;1
